,Links,
0,https://medium.com/tenderlymag/look-closer-at-the-natural-world-c4c765d69212?source=topic_page---------------------------20,
1,https://medium.com/live-your-life-on-purpose/mystical-source-of-art-and-how-art-transforms-32fd8e1ac2f2?source=topic_page---------0------------------1,
2,https://medium.com/aiga-eye-on-design/multimedia-artist-jaime-levy-was-at-the-forefront-of-web-design-before-websites-even-existed-55de40b0c4f2?source=topic_page---------1------------------1,
3,https://medium.com/@sheaseeryyy/miya-ando-invites-you-to-navigate-the-silver-river-of-time-945b8b3d68a2?source=topic_page---------2------------------1,
4,https://medium.com/@eugenhotaj,
5,https://medium.com/@emir.dini/murals-in-the-ghetto-how-art-is-used-to-gentrify-communities-of-color-92b4472f9f8a?source=topic_page---------4------------------1,
6,https://medium.com/super-jump/is-half-life-alyx-the-vr-game-weve-been-waiting-for-519ead49e757?source=topic_page---------5------------------1,
7,https://medium.com/signifier/ancient-beakers-were-something-new-150d86e42d5c?source=topic_page---------6------------------1,
8,https://medium.com/swlh/youre-allowed-to-ask-bec415d25a36?source=topic_page---------7------------------1,
9,https://medium.com/@annalia/the-russian-avant-garde-d68ce117b71c?source=topic_page---------8------------------1,
10,https://towardsdatascience.com/how-to-get-beautiful-results-with-neural-style-transfer-75d0c05d6489?source=topic_page---------9------------------1,
11,https://medium.com/@dooleyyoung/peony-windows-and-patent-wars-thoughts-on-the-artist-who-revolutionized-stained-glass-f4a39ca3f132?source=topic_page---------10------------------1,
12,https://medium.com/@maria_vole/henriette-emilie-finne-staging-stories-of-the-human-condition-c8f40ec19234?source=topic_page---------11------------------1,
13,https://medium.com/@admin_94592/the-best-gaudí-mosaics-from-around-the-world-971f75a7bc9a?source=topic_page---------12------------------1,
14,https://medium.com/thinksheet/the-painting-that-hangs-on-my-study-wall-6d1e060903fe?source=topic_page---------13------------------1,
15,https://medium.com/swlh/image-analysis-for-no-name-7b3d5160ae54?source=topic_page---------14------------------1,
16,https://medium.com/national-gallery-of-australia/hugh-ramsay-bright-star-93253ab63d77?source=topic_page---------15------------------1,
17,https://medium.com/@richellegribble/in-a-place-far-far-away-49e7de53532c?source=topic_page---------16------------------1,
18,https://medium.com/swlh/how-museums-shape-design-602fc13fecc5?source=topic_page---------17------------------1,
19,https://medium.com/vsco-viewfinder/photography-creating-at-home-shelter-in-place-mental-health-coronavirus-24f9efb6e0d8?source=topic_page---------18------------------1,
20,https://gen.medium.com/my-spouse-and-i-are-using-google-arts-culture-to-keep-the-spark-while-separated-due-to-coronavirus-94f82e53e2cb?source=topic_page---------19------------------1,
21,https://medium.com/minneapolis-institute-of-art/the-case-of-the-missing-rembrandt-927826c0c699?source=topic_page---------20------------------1,
22,https://medium.com/swlh/rebellious-anatomy-ditch-the-rules-93559a61f6b3?source=topic_page---------21------------------1,
23,https://medium.com/@timgallo/misconseption-about-portrait-lenses-daffdb38d947?source=topic_page---------22------------------1,
24,https://medium.com/placelab/the-building-as-gallery-27ef525d4a10?source=topic_page---------23------------------1,
25,https://medium.com/minneapolis-institute-of-art/the-gods-of-compassion-2edd0156fad2?source=topic_page---------24------------------1,
26,https://medium.com/@lizziechatham/a-brief-history-of-art-commodification-34dcebe7c74?source=topic_page---------25------------------1,
27,https://medium.com/mutualart/into-the-inferno-from-dante-to-eric-armusik-25b4b8926195?source=topic_page---------26------------------1,
28,https://medium.com/a-sense-of-place/the-uncanny-melancholy-of-empty-photographs-in-the-time-of-coronavirus-7dd61d4ca93?source=topic_page---------27------------------1,
29,https://medium.com/pandemic-dispatches/the-mandarin-frog-man-is-the-only-man-who-really-gets-it-7e699d9b1f1b?source=topic_page---------28------------------1,
30,https://medium.com/publishous/art-is-not-about-skill-its-about-these-three-things-e9a67f9a9b5d?source=topic_page---------29------------------1,
31,https://medium.com/@stonestreet/the-art-of-being-shattered-3ee6a07881f8?source=topic_page---------30------------------1,
32,https://medium.com/super-jump/the-art-of-game-design-analysis-cd58d752741a?source=topic_page---------31------------------1,
33,https://medium.com/@PacoTaylor/16-times-comic-book-artists-absolutely-rocked-hip-hop-album-cover-art-522aad4151df?source=topic_page---------32------------------1,
34,https://medium.com/@cvonhassett/the-beguiling-desolations-of-trisha-donnelly-239c794988c7?source=topic_page---------33------------------1,
35,https://medium.com/@Theculturemonster/americans-need-the-arts-now-more-than-ever-5b2ef9916ef7?source=topic_page---------34------------------1,
36,https://eidolon.pub/city-beautiful-9b6943bc7473?source=topic_page---------35------------------1,
37,https://medium.com/sashas-comics/guide-on-creating-your-own-web-comic-bcf59cf15f00?source=topic_page---------36------------------1,
38,https://medium.com/@brianhmatthews/unraveling-fantasy-the-homoerotic-neoclassicism-of-jean-cocteau-e7ccca92382?source=topic_page---------37------------------1,
39,https://medium.com/quaint-revolt/what-carried-us-over-teaches-us-how-to-carry-on-the-legacy-of-surviving-c9e66b569857?source=topic_page---------38------------------1,
40,https://medium.com/quaint-revolt/the-other-side-of-now-is-a-successful-glimpse-into-the-caribbean-future-460dcd70306e?source=topic_page---------39------------------1,
41,https://medium.com/swlh/trickling-down-hide-and-seek-239fe43fe3bc?source=topic_page---------40------------------1,
42,https://medium.com/signifier/making-room-for-rothko-459372589be5?source=topic_page---------41------------------1,
43,https://medium.com/@artwizardbg/barbara-kruger-the-feminist-contemporary-artist-of-the-20th-century-cf5336fc4ae4?source=topic_page---------42------------------1,
44,https://medium.com/mutualart/digging-for-secrets-in-the-garden-of-earthly-delights-d8144ea0ffce?source=topic_page---------43------------------1,
45,https://medium.com/@ArtGeek/a-quick-history-of-landscape-painting-in-western-art-c3dc3d1763a9?source=topic_page---------44------------------1,
46,https://medium.com/pulpmag/meet-the-artist-behind-cakeland-la-the-beauty-war-dd22f411559e?source=topic_page---------45------------------1,
